epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.408,0.44474,1.3137,1.08012,0.03541,0.40676,0.03345,0.01432,2.13951,12.6158,4.48467,0.0704615,0.00328205,0.00328205
2,259.147,0.42495,0.99503,1.05688,0.03683,0.04054,0.0128,0.00372,4.00323,3.80311,4.68169,0.0403306,0.0064844,0.0064844
3,349.655,0.4208,0.91405,1.04901,0.76971,0.28829,0.36704,0.33306,0.83524,1.82722,1.31481,0.0100676,0.00955475,0.00955475
4,474.969,0.3844,0.80387,1.02951,0.76443,0.2973,0.34826,0.27575,0.71395,1.67943,1.24892,0.009406,0.009406,0.009406
5,588.708,0.40079,0.88057,1.05495,0.17763,0.56644,0.27297,0.11241,1.92367,2.29907,2.37628,0.009208,0.009208,0.009208
6,704.359,0.33732,0.81109,1.00789,0.46475,0.775,0.64472,0.6093,0.36746,0.88675,0.76987,0.00901,0.00901,0.00901
7,814.457,0.29744,0.78082,0.97577,0.56626,0.7705,0.66169,0.43291,0.74687,1.48659,1.21772,0.008812,0.008812,0.008812
8,916.409,0.29431,0.77527,0.96625,0.54742,0.75,0.67563,0.66351,0.36507,0.80592,0.75169,0.008614,0.008614,0.008614
9,1032.59,0.28669,0.7285,0.95462,0.59631,0.725,0.72447,0.67577,0.32072,0.75277,0.74352,0.008416,0.008416,0.008416
10,1168.45,0.2679,0.7174,0.97409,0.51746,0.775,0.72424,0.68174,0.33852,0.7987,0.72697,0.008218,0.008218,0.008218
11,1280.77,0.23853,0.71004,0.94617,0.55195,0.85,0.7043,0.69025,0.27286,0.63251,0.6447,0.00802,0.00802,0.00802
12,1394.34,0.23643,0.69118,0.92127,0.81863,0.65,0.71817,0.62863,0.37545,0.81903,0.70487,0.007822,0.007822,0.007822
13,1499.74,0.23738,0.67981,0.93606,0.76799,0.65,0.70071,0.67736,0.24101,0.6293,0.62095,0.007624,0.007624,0.007624
14,1620.75,0.22904,0.63846,0.93179,0.46437,0.90946,0.62124,0.60793,0.25279,1.12747,0.64139,0.007426,0.007426,0.007426
15,1731.11,0.2133,0.62791,0.92262,0.73291,0.80479,0.79739,0.72312,0.33734,0.68175,0.75435,0.007228,0.007228,0.007228
16,1852.97,0.21496,0.61947,0.92489,0.45601,0.94491,0.7796,0.74138,0.28889,1.03653,0.65414,0.00703,0.00703,0.00703
17,1966.02,0.2057,0.62603,0.91808,0.74854,0.7205,0.75046,0.74048,0.24585,0.57341,0.64545,0.006832,0.006832,0.006832
18,2075.91,0.20061,0.62659,0.928,0.73664,0.81178,0.80855,0.79538,0.24896,0.64996,0.67172,0.006634,0.006634,0.006634
19,2188.1,0.19447,0.6017,0.9224,0.80578,0.7455,0.78843,0.78371,0.23217,0.57842,0.62581,0.006436,0.006436,0.006436
20,2302.26,0.17622,0.59855,0.90905,0.68127,0.725,0.73471,0.73339,0.26503,0.5941,0.65016,0.006238,0.006238,0.006238
21,2450.19,0.17113,0.55152,0.90159,0.795,0.675,0.74893,0.74893,0.20191,0.61469,0.6071,0.00604,0.00604,0.00604
22,2591.74,0.17685,0.57204,0.91627,0.75602,0.8,0.85112,0.84813,0.20543,0.48987,0.60602,0.005842,0.005842,0.005842
23,2731.08,0.18726,0.5965,0.92957,0.47862,0.99099,0.73978,0.71828,0.27734,1.19505,0.67904,0.005644,0.005644,0.005644
24,2881.35,0.17155,0.55812,0.91033,0.50973,0.99099,0.74114,0.72407,0.26622,1.3151,0.66101,0.005446,0.005446,0.005446
25,3044.57,0.15872,0.5302,0.89548,0.71444,0.75922,0.80783,0.75716,0.26289,0.60753,0.6647,0.005248,0.005248,0.005248
26,3220.92,0.16159,0.5235,0.90527,0.75959,0.8,0.83645,0.83545,0.23692,0.51754,0.64625,0.00505,0.00505,0.00505
27,3395.46,0.15917,0.53264,0.91978,0.84313,0.81592,0.93335,0.91864,0.23995,0.56685,0.63402,0.004852,0.004852,0.004852
28,3575.33,0.15497,0.5116,0.91139,0.82854,0.74508,0.825,0.82166,0.22045,0.4565,0.63237,0.004654,0.004654,0.004654
29,3730.7,0.14927,0.53788,0.89617,0.67896,0.83596,0.81086,0.80273,0.20082,0.47122,0.62785,0.004456,0.004456,0.004456
30,3866.55,0.14464,0.50685,0.90585,0.83293,0.64411,0.83314,0.80379,0.20127,0.59222,0.62271,0.004258,0.004258,0.004258
31,4015.12,0.13032,0.48151,0.89585,0.79353,0.9302,0.89699,0.89689,0.17719,0.38153,0.58447,0.00406,0.00406,0.00406
32,4140.82,0.13063,0.47453,0.89763,0.90791,0.82365,0.87696,0.87137,0.19782,0.40902,0.61145,0.003862,0.003862,0.003862
33,4234.05,0.13395,0.46,0.89736,0.76822,0.74003,0.84212,0.84057,0.17186,0.58554,0.56915,0.003664,0.003664,0.003664
34,4365.33,0.14083,0.46963,0.90202,0.74479,0.8964,0.83508,0.78253,0.2414,0.60609,0.62825,0.003466,0.003466,0.003466
35,4487.29,0.1285,0.47742,0.89859,0.76237,0.8639,0.88428,0.88225,0.18302,0.47622,0.57164,0.003268,0.003268,0.003268
